Zone,Org Dist,AC,Mandal,LB Name,Ward,Ward Number,Houses,Total Voters,Female,Male,Transgender,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli GRAMAPANCHAYATHH,CHELAMBASERI,4,239,878,446,432,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli GRAMAPANCHAYATHH,VAZHATHARAVELI,5,313,1022,529,493,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli GRAMAPANCHAYATHH,MARAPPALLI,6,378,1182,599,583,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli GRAMAPANCHAYATHH,VEERAMANGALAM,7,314,1179,602,577,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli GRAMAPANCHAYATHH,ODAMPALLY,8,339,1138,606,532,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli GRAMAPANCHAYATHH,ARAYANKAVU,9,321,1262,644,618,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli GRAMAPANCHAYATHH,PALLIKKULANGARA,10,357,1243,649,594,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli GRAMAPANCHAYATHH,KOTTADI,11,312,1068,555,513,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli GRAMAPANCHAYATHH,ALUNKAL BAZAR,12,325,1212,607,605,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli GRAMAPANCHAYATHH,POOCHAKKAL,13,393,1605,802,803,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli GRAMAPANCHAYATHH,sreekanteswaram,14,393,1180,621,559,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli GRAMAPANCHAYATHH,PALLIVELI,15,323,1302,681,621,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli GRAMAPANCHAYATHH,THALIYAPARAMB,16,352,1270,670,600,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli GRAMAPANCHAYATHH,NALPATHASWARAM,18,258,843,432,411,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli GRAMAPANCHAYATHH,KARALAPPATHI,19,351,1216,634,582,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli GRAMAPANCHAYATHH,ANLATHODE,20,308,1137,554,583,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Perumbalam Grama Panchayat,PATTEKAD,1,151,472,249,223,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Perumbalam Grama Panchayat,PANAMBUKADU,2,160,543,280,263,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Perumbalam Grama Panchayat,IRAPPUZHA,3,131,527,265,262,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Perumbalam Grama Panchayat,Chalil,4,119,452,233,219,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Perumbalam Grama Panchayat,HIGH SCHOOL,5,168,603,302,301,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Perumbalam Grama Panchayat,PANCHAYAT,6,108,464,231,233,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Perumbalam Grama Panchayat,MUKKAM,7,200,570,289,281,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Perumbalam Grama Panchayat,NEW SOUTH,8,170,571,290,281,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Perumbalam Grama Panchayat,ARUVELI,9,149,506,270,236,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Perumbalam Grama Panchayat,S K V VAYANASHALA,10,179,590,296,294,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Perumbalam Grama Panchayat,PUDHUKKAD,11,155,517,272,245,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Perumbalam Grama Panchayat,MARKET,12,168,554,269,285,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Perumbalam Grama Panchayat,KUNNATH,13,169,576,301,275,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Perumbalam Grama Panchayat,HOSPITAL,14,169,545,290,255,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,ulavaipu,1,276,1024,514,510,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,chudukattupuram,2,304,944,474,470,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,THEVARVATTOM,3,266,967,493,474,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,POOCHAKKAL,4,283,898,442,456,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,PONPURAM,5,344,938,475,463,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,NAGARI,6,328,1032,534,498,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,AATTUPURAM,7,321,1004,492,512,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,MANAPURAM,8,337,995,513,482,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,SUBSTATION,9,349,974,498,476,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,CHEERATHUKAADU,10,373,1154,618,536,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,PANIYATHU,11,299,951,502,449,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,SHRAMBIKKAL,12,314,925,471,454,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,THYCATTUSSERY,13,275,844,431,413,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,MANIYATHRIKKAL,14,337,993,510,483,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,PANCHAYATH OFFICE BHAGAM,15,272,807,414,393,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,CHC SUBCENTRE,16,397,1258,641,617,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,PUTHANANGADI,1,332,1203,599,604,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,GOVT FISHERIES SCHOOL,2,355,1303,674,629,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,MULTIPURPOSE WARD,3,359,1107,566,541,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,KOTTAPPURAM,4,303,971,495,476,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,PALLIYARAKAVU,5,268,938,493,445,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,UNNIYAMBALAM,6,367,1492,771,721,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,CHETTUTHARA,7,440,1556,783,773,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,AROOR GOVT HIGH SCHOOL,8,264,875,449,426,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,VATTAKKERI,9,395,1321,655,666,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,KUMBANJI,10,368,1297,662,635,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,ARABIC COLLEGE,11,377,1249,606,643,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,MULAKKAL PARAMBU,12,446,1618,807,811,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,ST FRANCIS,13,325,1039,535,504,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,KALATHIL KSHETHRAM,14,345,1264,643,621,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,AYURVEDA HOSPITAL,15,295,1252,657,595,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,ANJILIKKAD,16,374,1283,652,631,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,GURUMANDIRAM,17,338,1312,655,657,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,VIJAYAMBIKA,18,320,1276,644,632,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,VILLEGE OFFICE,19,316,1074,564,510,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,GOV HOSPITAL,20,323,1323,702,621,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,HIGH SCHOOL,21,271,951,502,449,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,CONVENT,22,316,1247,695,552,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,POOJAPPURA,23,390,1290,683,607,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,PROJECT COLONY WARD,24,355,1339,693,646,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram PANCHAYAT,KALLUPURACKAL,1,399,1516,790,726,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram PANCHAYAT,VADAKKAKATH,2,430,1457,751,706,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram PANCHAYAT,SREE NARAYANA PURAM,3,341,1226,624,600,2,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram PANCHAYAT,VATHARA,4,386,1327,687,639,1,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram PANCHAYAT,KANJIRATHUNKAL,5,359,1224,629,595,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram PANCHAYAT,KONNANATTU,6,271,1103,566,537,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram PANCHAYAT,KERANALLOOR,7,342,1290,657,633,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram PANCHAYAT,PANAKULAM,8,387,1255,649,606,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram PANCHAYAT,KOVILAKAM,9,376,1370,723,647,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram PANCHAYAT,KANKULANGARA,10,328,1120,582,538,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram PANCHAYAT,PANCHAYATH OFFICE BHAGAM,11,306,1047,557,490,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram PANCHAYAT,KORAMBATH,12,321,1187,622,565,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram PANCHAYAT,KONKERIL,13,378,1463,786,677,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram PANCHAYAT,st raphaels,14,280,1364,711,652,1,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram PANCHAYAT,NEENDAKARA,15,369,1175,608,567,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram PANCHAYAT,Puthukulangara,16,242,1055,545,510,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu GRAMAPANCHAYATHH,VALLITHODU,1,327,1305,626,679,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu GRAMAPANCHAYATHH,PONPURAM,2,342,1130,610,520,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu GRAMAPANCHAYATHH,PARAYAKAD WEST,3,305,997,520,477,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu GRAMAPANCHAYATHH,PARAYAKAD EAST,4,292,1218,646,572,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu GRAMAPANCHAYATHH,THAZHUP,5,312,982,513,469,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu GRAMAPANCHAYATHH,NAALIKATTU,6,299,1032,539,493,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu GRAMAPANCHAYATHH,Office Ward,8,277,974,528,446,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu GRAMAPANCHAYATHH,KURUMBIL WARD,9,175,934,487,447,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu GRAMAPANCHAYATHH,SUBSTATION WARD,10,260,879,455,424,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu GRAMAPANCHAYATHH,GOVT HOSPITAL WARD,11,282,990,519,471,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu GRAMAPANCHAYATHH,THATTAPARAMBU,12,257,919,470,449,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu GRAMAPANCHAYATHH,MUTHUPARAMBU,13,243,798,434,364,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu GRAMAPANCHAYATHH,THIRUMALA EAST,14,263,1030,523,507,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu GRAMAPANCHAYATHH,NALUKULANGARA,15,337,1181,626,555,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu GRAMAPANCHAYATHH,THIRUMALA WEST,16,322,963,479,484,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu GRAMAPANCHAYATHH,P H C WARD,17,328,1230,625,605,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram PANCHAYAT,NEENDAKARA,1,280,1049,535,514,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram PANCHAYAT,KAILASAM,2,271,815,418,397,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram PANCHAYAT,KUZHIVELY,3,270,840,410,430,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram PANCHAYAT,KUREETHARA,4,258,796,426,370,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram PANCHAYAT,CHAMMANAD,5,210,820,436,384,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram PANCHAYAT,MONTHACHAL,6,262,898,473,425,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram PANCHAYAT,CHIRAKKAL,7,286,886,468,418,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram PANCHAYAT,MANATHODAM,8,261,879,472,407,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram PANCHAYAT,PANCHAYATH,9,302,925,487,438,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram PANCHAYAT,KOYICKAL,11,306,968,500,468,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram PANCHAYAT,KALAPPURACKAL,12,296,1020,542,478,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram PANCHAYAT,MUTTATHIL,13,273,1286,650,636,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram PANCHAYAT,CHAKKANATTU,14,267,898,452,446,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram PANCHAYAT,VALLETHODU,15,236,759,388,371,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram PANCHAYAT,MOORTHINKAL,16,227,697,378,319,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram PANCHAYAT,CHANGARAM,17,241,910,477,433,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram PANCHAYAT,CHERUNGAL NEW,18,276,1089,570,519,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,VALLITHODU,1,310,1407,707,700,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,ALUNKKAL,2,330,1200,645,555,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,KALARIKAL,3,324,1128,605,523,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,THURAVOOR TOWN,4,318,1191,641,550,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,PANCHAYATH OFFICE BHAGAM,5,333,1127,602,525,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,S C S HIGH SCHOOL,6,369,1160,594,566,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,ALUMVARAMBU,7,356,1122,581,541,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,VALAMANGALAM NORTH,8,278,1060,558,502,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,KADATHURUTHU,9,294,1232,645,587,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,SHCHURCH,10,343,1264,669,595,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,VALAMANGALAM SOUTH,11,246,963,495,468,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,PAZHAMPALLIKKAVU,12,360,1252,657,595,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,POONILATH,13,300,1224,647,577,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,MILMA FACTORY,14,260,1013,539,474,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,PUTHENCAVU,15,277,942,501,441,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,MANAKKODAM,16,269,1216,639,577,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,ILLIKKAL,17,295,1129,604,525,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,PADIJARE MANAKKODAM,18,321,1295,649,646,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor GRAMAPANCHAYATHH,ANPURAM,19,285,1237,657,580,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Cherthala,Cherthala,Pattanakkad Grama Panchayat,Light house,1,378,1309,683,626,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Cherthala,Cherthala,Pattanakkad Grama Panchayat,PARAYIL,2,310,1152,611,541,0,,,,,,,,,,,,,
Alappuzha,Alappuzha North,Cherthala,Cherthala,Pattanakkad Grama Panchayat,Ponnamveli,3,349,1193,622,571,0,,,,,,,,,,,,,
